,dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value,storedBy,created,lastUpdated,comment,followup
0,BCG doses given,202201,Bendugu CHC,"Fixed, <1y",default,15,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
1,OPV0 doses given,202201,Bendugu CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
2,OPV2 doses given,202201,Bendugu CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
3,OPV3 doses given,202201,Bendugu CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
4,Penta2 doses given,202201,Bendugu CHC,"Fixed, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
5,Penta3 doses given,202201,Bendugu CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
6,Yellow Fever doses given,202201,Bendugu CHC,"Fixed, <1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
7,Measles doses given,202201,Bendugu CHC,"Fixed, <1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
8,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Bendugu CHC,"Fixed, <1y",default,15,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
9,Q_Exclusive breastfeeding at time of Penta 3,202201,Bendugu CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
10,Q_Slept under LLIN last night Measles,202201,Bendugu CHC,"Fixed, <1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
11,BCG doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,32,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
12,Fully Immunized child,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,29,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
13,LLITN given at Penta3,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
14,OPV0 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,32,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
15,OPV1 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,33,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
16,OPV2 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,31,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
17,OPV3 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
18,Penta1 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,33,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
19,Penta2 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,31,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
20,Penta3 doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
21,Yellow Fever doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,29,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
22,Measles doses given,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,29,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
23,Vitamin A given to < 5y,202201,Bandajuma Clinic CHC,"Fixed, <1y",default,29,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
